customer_id,zip,city,signup_date,gender,age_group,acquisition_channel,last_order_date,first_order_date,frequency,monetary,avg_order_value,recency_days,tenure_days,R_score,F_score,M_score,RFM_score,rfm_segment,region,signup_year,signup_month,signup_ym
1,15201,Hai Phong,2021-12-30,Female,35-44,social_media,2021-04-24,2012-07-25,6,142803.47,23800.58,617.0,3812.0,4.0,4.0,4.0,444.0,Champions,East,2021,12,2021-12
2,15201,Hai Phong,2013-12-27,Female,45-54,email_campaign,2022-07-06,2013-09-20,2,126255.29,63127.64,179.0,3390.0,5.0,2.0,4.0,524.0,New Customers,East,2013,12,2013-12
3,15201,Hai Phong,2018-07-24,Female,18-24,organic_search,2012-11-24,2012-08-27,2,12001.55,6000.78,3690.0,3779.0,1.0,2.0,1.0,121.0,Lost,East,2018,7,2018-07
4,15201,Hai Phong,2017-11-29,Male,35-44,referral,2020-06-28,2020-06-28,1,10939.06,10939.06,917.0,917.0,3.0,1.0,1.0,311.0,About To Sleep,East,2017,11,2017-11
5,15201,Hai Phong,2022-09-23,Male,55+,organic_search,2019-03-27,2012-08-09,5,64179.86,12835.97,1376.0,3797.0,3.0,3.0,3.0,333.0,Loyal Customers,East,2022,9,2022-09
6,15202,Phu Ly,2022-04-14,Female,25-34,organic_search,2021-06-20,2012-10-28,9,71555.0,7950.56,560.0,3717.0,4.0,4.0,3.0,443.0,Champions,East,2022,4,2022-04
8,15202,Phu Ly,2015-09-11,Male,45-54,social_media,2017-01-01,2012-10-27,6,158356.41,26392.74,2191.0,3718.0,2.0,4.0,4.0,244.0,At Risk,East,2015,9,2015-09
9,15202,Phu Ly,2020-02-14,Male,35-44,email_campaign,2019-06-05,2019-06-05,1,15926.52,15926.52,1306.0,1306.0,3.0,1.0,1.0,311.0,About To Sleep,East,2020,2,2020-02
10,15202,Phu Ly,2014-03-03,Male,25-34,organic_search,2022-05-06,2012-08-30,12,321108.55,26759.05,240.0,3776.0,5.0,5.0,5.0,555.0,Champions,East,2014,3,2014-03
11,15203,Viet Tri,2017-11-07,Male,35-44,organic_search,2017-05-15,2014-08-02,4,221384.76,55346.19,2057.0,3074.0,2.0,3.0,4.0,234.0,At Risk,East,2017,11,2017-11
12,15203,Viet Tri,2020-11-20,Female,45-54,organic_search,2021-04-17,2021-04-17,1,13636.55,13636.55,624.0,624.0,4.0,1.0,1.0,411.0,New Customers,East,2020,11,2020-11
13,15203,Viet Tri,2014-01-17,Female,25-34,direct,2018-06-08,2014-03-19,6,170276.6,28379.43,1668.0,3210.0,2.0,4.0,4.0,244.0,At Risk,East,2014,1,2014-01
14,15203,Viet Tri,2017-07-31,Female,45-54,social_media,2018-04-12,2013-06-02,3,53410.62,17803.54,1725.0,3500.0,2.0,2.0,2.0,222.0,Lost,East,2017,7,2017-07
15,15203,Viet Tri,2022-01-29,Male,35-44,direct,2013-03-28,2013-03-28,1,24387.3,24387.3,3566.0,3566.0,1.0,1.0,2.0,112.0,Lost,East,2022,1,2022-01
16,15204,Bac Giang,2021-03-25,Female,45-54,referral,2022-04-03,2013-08-16,5,39366.56,7873.31,273.0,3425.0,4.0,3.0,2.0,432.0,Loyal Customers,East,2021,3,2021-03
17,15204,Bac Giang,2017-11-15,Male,25-34,social_media,2017-12-28,2017-12-28,1,11965.31,11965.31,1830.0,1830.0,2.0,1.0,1.0,211.0,Lost,East,2017,11,2017-11
