product_id,product_name,category,segment,size,color,price,cogs,gross_margin_pct,profit_per_unit,avg_rating,review_count,total_returns,total_return_qty,total_refund
536,SaigonFlex UC-01,Streetwear,Everyday,S,green,11059.65,9704.842875,12.25,1354.81,4.0,3,2,10,104934.1
537,SaigonFlex UC-02,Streetwear,Everyday,M,silver,9523.076012658228,5393.87025356962,43.36,4129.21,3.69,16,5,10,88104.72
538,SaigonFlex UC-03,Streetwear,Everyday,L,pink,15951.633157894736,11371.919278263158,28.71,4579.71,3.67,6,1,3,45950.75
539,SaigonFlex UC-04,Streetwear,Everyday,XL,yellow,15753.7172985782,8573.172953886256,45.58,7180.54,3.77,30,8,22,315120.47000000003
540,SaigonFlex UC-05,Streetwear,Everyday,S,red,15766.334536082471,14063.570406185569,10.8,1702.76,3.56,9,5,14,191060.51
541,SaigonFlex UC-06,Streetwear,Everyday,M,black,16095.853846153846,15291.061153846153,5.0,804.79,4.0,8,1,3,45566.15
542,SaigonFlex UC-07,Streetwear,Everyday,L,orange,9213.817741935483,6152.066106290323,33.23,3061.75,3.45,11,5,14,115250.36
543,SaigonFlex UC-08,Streetwear,Everyday,XL,blue,40.39417781955786,22.4877477162706,44.33,17.91,,0,0,0,0.0
544,SaigonFlex UC-09,Streetwear,Everyday,S,white,11334.106451612904,8528.91510483871,24.75,2805.19,4.2,25,7,10,96424.37
545,SaigonFlex UC-10,Streetwear,Everyday,M,purple,10045.678411214954,9091.338962149532,9.5,954.34,3.96,85,28,92,818173.12
546,SaigonFlex UC-11,Streetwear,Everyday,L,green,16066.115625,13338.089191875,16.98,2728.03,4.1,20,14,42,569231.36
547,SaigonFlex UC-12,Streetwear,Everyday,XL,silver,6544.421470588235,4298.376021882353,34.32,2246.05,4.38,13,6,19,107833.62
548,SaigonFlex UC-13,Streetwear,Everyday,S,pink,6163.409553488373,4883.885730184186,20.76,1279.52,3.86,402,146,415,2277209.42
549,SaigonFlex UC-14,Streetwear,Everyday,M,yellow,6655.753057615516,5205.464466361095,21.79,1450.29,3.82,119,50,144,844860.88
550,SaigonFlex UC-15,Streetwear,Everyday,L,red,5184.6242217898825,3404.7427264494163,34.33,1779.88,3.87,68,21,55,230259.63999999998
551,SaigonFlex UC-16,Streetwear,Everyday,XL,black,11245.40662055336,10683.136289525692,5.0,562.27,3.9,505,169,473,4532944.18
552,SaigonFlex UC-17,Streetwear,Everyday,S,orange,11588.85,11009.4075,5.0,579.44,,0,0,0,0.0
553,SaigonFlex UC-18,Streetwear,Everyday,M,blue,11516.617241379312,9748.816494827586,15.35,1767.8,3.84,32,7,18,185154.75
554,SaigonFlex UC-19,Streetwear,Everyday,L,white,10501.44709090909,6426.885619636364,38.8,4074.56,3.62,8,2,5,46636.57
555,SaigonFlex UC-20,Streetwear,Everyday,XL,purple,10520.478996539792,9994.455046712805,5.0,526.02,3.93,43,12,32,306004.63
556,SaigonFlex UC-21,Streetwear,Everyday,S,green,10268.64391304348,9686.411803173914,5.67,582.23,4.09,114,54,136,1189875.55
557,SaigonFlex UC-22,Streetwear,Everyday,M,silver,10090.442604501608,7554.714377990354,25.13,2535.73,3.83,36,16,38,312659.13
558,SaigonFlex UC-23,Streetwear,Everyday,L,pink,18269.37,14094.818955,22.85,4174.55,,0,0,0,0.0
559,SaigonFlex UC-24,Streetwear,Everyday,XL,yellow,7658.988223707352,6569.1141994737945,14.23,1089.87,3.98,392,132,312,2042777.26
560,SaigonFlex UC-25,Streetwear,Everyday,S,red,8428.274494382023,7354.512323797754,12.74,1073.76,,0,0,0,0.0
561,SaigonFlex UC-26,Streetwear,Everyday,M,black,8951.670000000002,7753.936554000001,13.38,1197.73,,0,0,0,0.0
562,SaigonFlex UC-27,Streetwear,Everyday,L,orange,11109.750837988828,10554.263296089386,5.0,555.49,3.88,17,10,22,217087.99
563,SaigonFlex UC-28,Streetwear,Everyday,XL,blue,9445.094755700327,8972.84001791531,5.0,472.25,4.0,50,17,49,372001.98
564,SaigonFlex UC-29,Streetwear,Everyday,S,white,11503.8,7876.651859999999,31.53,3627.15,,0,0,0,0.0
565,SaigonFlex UC-30,Streetwear,Everyday,M,purple,10752.791426927502,9051.699823187571,15.82,1701.09,4.02,119,39,89,799204.55
566,SaigonFlex UC-31,Streetwear,Everyday,L,green,11783.942843326886,9612.16217730174,18.43,2171.78,3.87,47,17,44,420590.9
567,SaigonFlex UC-32,Streetwear,Everyday,XL,silver,10134.776887966806,8711.854212896265,14.04,1422.92,3.95,141,55,160,1386571.27
568,SaigonFlex UC-33,Streetwear,Everyday,S,pink,10532.698282442749,7628.833365973283,27.57,2903.86,4.29,35,13,49,448097.95
569,SaigonFlex UC-34,Streetwear,Everyday,M,yellow,12601.622727272726,11971.54159090909,5.0,630.08,4.12,8,3,10,111171.68
570,SaigonFlex UC-35,Streetwear,Everyday,L,red,6934.761627906977,6364.030745930232,8.23,570.73,4.0,27,10,28,175800.31
571,SaigonFlex UC-36,Streetwear,Everyday,XL,black,6325.199999999999,6008.939999999999,5.0,316.26,3.91,93,24,42,215093.74
572,SaigonFlex UC-37,Streetwear,Everyday,S,orange,5428.175373134329,5156.766604477612,5.0,271.41,3.87,150,75,211,991857.95
573,SaigonFlex UC-38,Streetwear,Everyday,M,blue,3743.690322580645,2813.7576464516133,24.84,929.93,3.88,94,33,96,318407.69
574,SaigonFlex UC-39,Streetwear,Everyday,L,white,10912.659378640778,10134.58676494369,7.13,778.07,3.81,58,16,42,391276.11
575,SaigonFlex UC-40,Streetwear,Everyday,XL,purple,11157.957055214723,10600.059202453987,5.0,557.9,3.96,73,23,67,583614.3200000001
576,SaigonFlex UC-41,Streetwear,Everyday,S,green,18775.840588235293,12572.302857882352,33.04,6203.54,3.08,12,3,4,70123.19
577,SaigonFlex UC-42,Streetwear,Everyday,M,silver,12288.258347826088,9234.626148391304,24.85,3053.63,3.94,145,39,113,1171722.03
578,SaigonFlex UC-43,Streetwear,Everyday,L,pink,9414.213956043955,6648.317895758242,29.38,2765.9,3.89,252,92,274,2287859.36
579,SaigonFlex UC-44,Streetwear,Everyday,XL,yellow,15941.109130434785,14039.334811173912,11.93,1901.77,3.95,21,6,16,213817.41999999998
580,SaigonFlex UC-45,Streetwear,Everyday,S,red,9901.548539325842,9406.47111235955,5.0,495.08,3.92,213,72,200,1712337.04
581,SaigonFlex UC-46,Streetwear,Everyday,M,black,16696.35,14125.112099999997,15.4,2571.24,4.09,23,8,19,274698.6
582,SaigonFlex UC-47,Streetwear,Everyday,L,orange,4283.701578947369,3193.499527105263,25.45,1090.2,,0,0,0,0.0
583,SaigonFlex UC-48,Streetwear,Everyday,XL,blue,6610.571739130435,4418.506150434782,33.16,2192.07,3.83,18,3,8,47883.340000000004
584,SaigonFlex UC-49,Streetwear,Everyday,S,white,7436.313925233644,4666.286988084112,37.25,2770.03,,0,0,0,0.0
585,SaigonFlex UC-50,Streetwear,Everyday,M,purple,5044.252669537136,4792.040036060279,5.0,252.21,4.01,216,78,220,938075.12
586,SaigonFlex UC-51,Streetwear,Everyday,L,green,4552.686272040302,4325.051958438287,5.0,227.63,4.11,103,38,104,404568.18
587,SaigonFlex UC-52,Streetwear,Everyday,XL,silver,31.33370262797137,19.58344028160639,37.5,11.75,,0,0,0,0.0
588,SaigonFlex UC-53,Streetwear,Everyday,S,pink,7437.165180722891,6317.871821024096,15.05,1119.29,3.86,7,2,8,53019.009999999995
589,SaigonFlex UC-54,Streetwear,Everyday,M,yellow,10207.29366412214,7250.240689625954,28.97,2957.05,3.94,70,31,103,922941.79
590,SaigonFlex UC-55,Streetwear,Everyday,L,red,10658.332964467008,10125.416316243656,5.0,532.92,3.95,110,49,134,1240473.39
591,SaigonFlex UC-56,Streetwear,Everyday,XL,black,11048.621805273831,10496.190715010142,5.0,552.43,3.74,68,22,59,548808.15
592,SaigonFlex UC-57,Streetwear,Everyday,S,orange,11573.637804878048,7346.945278536587,36.52,4226.69,4.09,23,4,14,120148.57
593,SaigonFlex UC-58,Streetwear,Everyday,M,blue,10942.190633484162,8946.335061936654,18.24,1995.86,3.91,34,12,25,239668.28
594,SaigonFlex UC-59,Streetwear,Everyday,L,white,42.90873487037344,24.500482522900096,42.9,18.41,,0,0,0,0.0
595,SaigonFlex UC-60,Streetwear,Everyday,XL,purple,8975.727475247524,5284.908337425743,41.12,3690.82,3.77,77,26,83,664866.26
596,SaigonFlex UC-61,Streetwear,Everyday,S,green,9577.146989690722,5842.05966371134,39.0,3735.09,3.94,319,96,280,2246006.15
