snapshot_date,product_id,stock_on_hand,units_received,units_sold,stockout_days,days_of_supply,fill_rate,stockout_flag,overstock_flag,reorder_flag,sell_through_rate,product_name,category,segment,year,month,product_price,product_cogs,inventory_value_retail,inventory_value_cost,inventory_health
2022-10-31,1,3,1,1,2,90.0,0.9333,1,0,0,0.25,DragonWear MA-01,Casual,All-weather,2022,10,4945.5,2732.8833,14836.5,8198.65,Stockout
2022-11-30,1,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-01,Casual,All-weather,2022,11,4945.5,2732.8833,14836.5,8198.65,Stockout
2022-12-31,1,3,1,1,1,90.0,0.9667,1,0,0,0.25,DragonWear MA-01,Casual,All-weather,2022,12,4945.5,2732.8833,14836.5,8198.65,Stockout
2016-04-30,3,35,13,11,2,95.5,0.9333,1,1,0,0.2391,DragonWear MA-03,Casual,All-weather,2016,4,10831.3771884655,10289.808329042224,379098.2,360143.29,Stockout
2016-05-31,3,36,11,10,1,108.0,0.9667,1,1,0,0.2174,DragonWear MA-03,Casual,All-weather,2016,5,10831.3771884655,10289.808329042224,389929.58,370433.1,Stockout
2016-06-30,3,37,8,7,2,158.6,0.9333,1,1,0,0.1591,DragonWear MA-03,Casual,All-weather,2016,6,10831.3771884655,10289.808329042224,400760.96,380722.91,Stockout
2016-07-31,3,39,11,9,2,130.0,0.9333,1,1,0,0.1875,DragonWear MA-03,Casual,All-weather,2016,7,10831.3771884655,10289.808329042224,422423.71,401302.52,Stockout
2016-08-31,3,39,4,4,0,292.5,1.0,0,1,0,0.093,DragonWear MA-03,Casual,All-weather,2016,8,10831.3771884655,10289.808329042224,422423.71,401302.52,Overstock
2016-09-30,3,40,7,6,0,200.0,1.0,0,1,0,0.1304,DragonWear MA-03,Casual,All-weather,2016,9,10831.3771884655,10289.808329042224,433255.09,411592.33,Overstock
2016-10-31,3,41,7,6,1,205.0,0.9667,1,1,0,0.1277,DragonWear MA-03,Casual,All-weather,2016,10,10831.3771884655,10289.808329042224,444086.46,421882.14,Stockout
2016-11-30,3,44,15,12,0,110.0,1.0,0,1,0,0.2143,DragonWear MA-03,Casual,All-weather,2016,11,10831.3771884655,10289.808329042224,476580.6,452751.57,Overstock
2016-12-31,3,45,12,11,2,122.7,0.9333,1,1,0,0.1964,DragonWear MA-03,Casual,All-weather,2016,12,10831.3771884655,10289.808329042224,487411.97,463041.37,Stockout
2017-01-31,3,46,13,12,0,115.0,1.0,0,1,0,0.2069,DragonWear MA-03,Casual,All-weather,2017,1,10831.3771884655,10289.808329042224,498243.35,473331.18,Overstock
2017-02-28,3,50,18,14,2,107.1,0.9333,1,1,0,0.2188,DragonWear MA-03,Casual,All-weather,2017,2,10831.3771884655,10289.808329042224,541568.86,514490.42,Stockout
2017-03-31,3,52,12,10,1,156.0,0.9667,1,1,0,0.1613,DragonWear MA-03,Casual,All-weather,2017,3,10831.3771884655,10289.808329042224,563231.61,535070.03,Stockout
2017-04-30,3,53,9,8,2,198.8,0.9333,1,1,0,0.1311,DragonWear MA-03,Casual,All-weather,2017,4,10831.3771884655,10289.808329042224,574062.99,545359.84,Stockout
2017-05-31,3,54,10,9,0,180.0,1.0,0,1,0,0.1429,DragonWear MA-03,Casual,All-weather,2017,5,10831.3771884655,10289.808329042224,584894.37,555649.65,Overstock
2017-06-30,3,56,15,13,2,129.2,0.9333,1,1,0,0.1884,DragonWear MA-03,Casual,All-weather,2017,6,10831.3771884655,10289.808329042224,606557.12,576229.27,Stockout
2017-07-31,3,57,8,7,1,244.3,0.9667,1,1,0,0.1094,DragonWear MA-03,Casual,All-weather,2017,7,10831.3771884655,10289.808329042224,617388.5,586519.07,Stockout
2017-08-31,3,59,11,9,0,196.7,1.0,0,1,0,0.1324,DragonWear MA-03,Casual,All-weather,2017,8,10831.3771884655,10289.808329042224,639051.25,607098.69,Overstock
2017-09-30,3,59,3,3,2,590.0,0.9333,1,1,0,0.0484,DragonWear MA-03,Casual,All-weather,2017,9,10831.3771884655,10289.808329042224,639051.25,607098.69,Stockout
2017-10-31,3,60,11,10,1,180.0,0.9667,1,1,0,0.1429,DragonWear MA-03,Casual,All-weather,2017,10,10831.3771884655,10289.808329042224,649882.63,617388.5,Stockout
2017-11-30,3,61,7,6,2,305.0,0.9333,1,1,0,0.0896,DragonWear MA-03,Casual,All-weather,2017,11,10831.3771884655,10289.808329042224,660714.01,627678.31,Stockout
2017-12-31,3,63,17,15,2,126.0,0.9333,1,1,0,0.1923,DragonWear MA-03,Casual,All-weather,2017,12,10831.3771884655,10289.808329042224,682376.76,648257.92,Stockout
2018-01-31,3,64,7,6,0,320.0,1.0,0,1,0,0.0857,DragonWear MA-03,Casual,All-weather,2018,1,10831.3771884655,10289.808329042224,693208.14,658547.73,Overstock
2018-02-28,3,65,8,7,2,278.6,0.9333,1,1,0,0.0972,DragonWear MA-03,Casual,All-weather,2018,2,10831.3771884655,10289.808329042224,704039.52,668837.54,Stockout
2018-03-31,3,67,11,9,0,223.3,1.0,0,1,0,0.1184,DragonWear MA-03,Casual,All-weather,2018,3,10831.3771884655,10289.808329042224,725702.27,689417.16,Overstock
2018-04-30,3,69,13,11,0,188.2,1.0,0,1,0,0.1375,DragonWear MA-03,Casual,All-weather,2018,4,10831.3771884655,10289.808329042224,747365.03,709996.77,Overstock
