return_id,order_id,product_id,return_date,return_reason,return_quantity,refund_amount,product_name,category,segment,size,color,price,cogs,order_date,customer_id,order_source,device_type,days_to_return,return_year,return_month,return_ym
RET-000001,2,609,2012-07-25,late_delivery,6,52458.01,SaigonFlex UC-74,Streetwear,Everyday,M,yellow,10426.571033557047,8987.704230926174,2012-07-04,58621,paid_search,mobile,21,2012,7,2012-07
RET-000002,32,1862,2012-07-16,wrong_size,2,5141.37,SaigonCore YY-57,GenZ,Trendy,L,orange,2656.232068965517,1842.62818624138,2012-07-05,6037,social_media,desktop,11,2012,7,2012-07
RET-000003,35,2359,2012-07-16,wrong_size,1,5315.95,VietMotion UC-07,Streetwear,Everyday,XL,yellow,5399.825901259964,3136.7588660419133,2012-07-04,3666,organic_search,desktop,12,2012,7,2012-07
RET-000004,47,1449,2012-07-11,wrong_size,4,6493.75,VietMode RP-41,Outdoor,Activewear,M,yellow,1802.115,1575.769356,2012-07-06,72063,organic_search,mobile,5,2012,7,2012-07
RET-000005,47,1450,2012-07-25,wrong_size,1,1740.76,VietMode RP-42,Outdoor,Activewear,L,red,1802.115,1309.056336,2012-07-06,72063,organic_search,mobile,19,2012,7,2012-07
RET-000006,59,671,2012-07-19,defective,1,10086.33,SaigonFlex UC-36,Streetwear,Everyday,XL,black,11194.626315789474,7866.463912105264,2012-07-06,63551,paid_search,mobile,13,2012,7,2012-07
RET-000007,67,604,2012-07-16,wrong_size,1,5713.22,SaigonFlex UC-69,Streetwear,Everyday,S,white,6135.298830630299,4141.940240558514,2012-07-04,17352,paid_search,desktop,12,2012,7,2012-07
RET-000008,102,467,2012-07-17,defective,1,9724.09,SaigonFlex UM-72,Streetwear,Balanced,XL,silver,11081.167628705149,6350.61716801092,2012-07-04,31661,organic_search,mobile,13,2012,7,2012-07
RET-000010,108,635,2012-07-30,wrong_size,5,43387.54,SaigonFlex UC-00,Streetwear,Everyday,XL,purple,10745.220588235294,9205.430477941176,2012-07-05,112415,organic_search,mobile,25,2012,7,2012-07
RET-000012,132,103,2012-07-29,changed_mind,2,19200.35,DragonWear UM-30,Streetwear,Balanced,XL,blue,10425.177091172214,7115.183364725037,2012-07-04,118599,email_campaign,mobile,25,2012,7,2012-07
RET-000013,135,1668,2012-07-12,not_as_described,1,4834.0,VietMode UR-01,Streetwear,Standard,S,pink,5164.74,2678.950638,2012-07-04,47414,organic_search,mobile,8,2012,7,2012-07
