date,revenue,cogs,gross_profit,gross_margin_pct,year,month,quarter,day_of_week,dow_name,is_weekend,year_month,revenue_ma7,revenue_ma30,cogs_ma7,cogs_ma30,yoy_growth_pct
2012-07-04,5123547.94,3982991.19,1140556.75,22.26,2012,7,3,2,Wednesday,0,2012-07,5123547.94,5123547.94,3982991.19,3982991.19,
2012-07-05,2751773.45,2150580.23,601193.22,21.85,2012,7,3,3,Thursday,0,2012-07,3937660.7,3937660.7,3066785.71,3066785.71,
2012-07-06,3054029.42,2517632.84,536396.58,17.56,2012,7,3,4,Friday,0,2012-07,3643116.94,3643116.94,2883734.75,2883734.75,
2012-07-07,2667930.94,2108246.62,559684.32,20.98,2012,7,3,5,Saturday,1,2012-07,3399320.44,3399320.44,2689862.72,2689862.72,
2012-07-08,2360851.9,1808622.79,552229.11,23.39,2012,7,3,6,Sunday,1,2012-07,3191626.73,3191626.73,2513614.73,2513614.73,
2012-07-09,3548386.46,2787841.68,760544.78,21.43,2012,7,3,0,Monday,0,2012-07,3251086.68,3251086.68,2559319.22,2559319.22,
2012-07-10,5234938.62,4044438.84,1190499.78,22.74,2012,7,3,1,Tuesday,0,2012-07,3534494.1,3534494.1,2771479.17,2771479.17,
2012-07-11,5582884.78,4338313.07,1244571.71,22.29,2012,7,3,2,Wednesday,0,2012-07,3600113.65,3790542.94,2822239.44,2967333.41,
2012-07-12,5734632.02,4458811.27,1275820.75,22.25,2012,7,3,3,Thursday,0,2012-07,4026236.31,4006552.84,3151986.73,3133053.17,
2012-07-13,5309511.71,4143402.78,1166108.93,21.96,2012,7,3,4,Friday,0,2012-07,4348448.06,4136848.72,3384239.58,3234088.13,
2012-07-14,3820831.41,3075464.87,745366.54,19.51,2012,7,3,5,Saturday,1,2012-07,4513148.13,4108119.88,3522413.61,3219667.83,
2012-07-15,3948841.28,3154482.05,794359.23,20.12,2012,7,3,6,Sunday,1,2012-07,4740003.75,4094846.66,3714679.22,3214235.69,
2012-07-16,3503801.49,2708219.59,795581.9,22.71,2012,7,3,0,Monday,0,2012-07,4733634.47,4049381.65,3703304.64,3175311.37,
2012-07-17,4476729.49,3463061.65,1013667.84,22.64,2012,7,3,1,Tuesday,0,2012-07,4625318.88,4079906.49,3620250.75,3195864.96,
2012-07-18,5184141.46,4072012.16,1112129.3,21.45,2012,7,3,2,Wednesday,0,2012-07,4568355.55,4153522.16,3582207.77,3254274.78,
2012-07-19,6421487.11,5007270.91,1414216.2,22.02,2012,7,3,3,Thursday,0,2012-07,4666477.71,4295269.97,3660559.14,3363837.03,
2012-07-20,5171470.46,4213989.64,957480.82,18.51,2012,7,3,4,Friday,0,2012-07,4646757.53,4346811.17,3670642.98,3413846.01,
